Project,subID,ExpID,CoderID,Page Number,Question Number,Qtype,Concept,Concept-super,Question_ID,Question,Question-Notes,Answer (0 /1),Explanation,Needed Clarification/Repetition,Include? ,Exp Error?,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.2,Why does dad pack that cookie? (It's the biggest he can see),#REF!,1,"Because he didn't see that one, and this one is smaller than that one",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.3,Which cookie does Marie want? (big cookie),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.4,How did you know? (She can see it),#REF!,1,Because it's the biggest and she can see from there,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_13.1,Which picture should April draw? (orange slice),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_13.2,Why should she draw the slice? (doesn't look like apple),#REF!,1,Because this could be an apple slice,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.1,How will Bill feel? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.2,Why (does Bill feel sad/happy)? (Remembers the puppy stole his snack),#REF!,1,Because he doesn't want the puppy taking his snack again,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.3,Will Bill sit near or far from the puppy? (Far),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.4,Why (will Bill sit far/near)? (Remembers the puppy stole his snack),#REF!,1,So the puppy won't get his snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_15.1,Where is Jenni's snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_15.2,Where will Jenni look for her snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_15.3,"Why does Jenni look on the desk? (she heard the announcment, knew)",#REF!,1,Because he made an announcement and he said all snacks have been moved to the desk,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.1,Where is Melanie's cookie? (in her tummy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.2,Did Melanie know that was Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.3,Why did Melanie eat Mitch's cookie? (Mean),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.4,Why is Mitch crying? (Doesn't have cookie),#REF!,1,Because he doesn't have his cookie anymore,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.5,Is Melanie being mean/naughty for taking Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.6,Why/why not (mean/naughty)? (She knew),#REF!,1,Because she knew it was his,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.7,Should Melanie get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.8,Why/why not (trouble)? (She knew),#REF!,1,Because she knew it was his and she ate it just because she was hungry,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.9,Now Mitch has a cookie. Should Melanie still get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.91,Why/why not (still trouble)? (She knew),#REF!,1,"Because she still did that, it's not like she didn't do it anymore",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.1,Is Brian lying? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.2,"Is there a cookie left, that hasn't been eaten (1)? (Yes)",#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.3,Is Mr. Cook lying? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.4,Why Not? (Because he doesn't know),#REF!,1,Because he doesn't know there is still a cookie left,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.5,"Is there a cookie left, that hasn't been eaten (2)? (Yes)",#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.6,How does Megan feel- sad or fine? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.7,"There's a cookie left, why does Megan feel sad? (she doesn't know)",#REF!,1,Because she didn't get a cookie and everyone else did,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.8,Was Brian lying? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.9,Why?,#REF!,1,Because there was still one left,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_18.1,What does dad think Emma wants for snacktime? (string cheese),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.2,Why does dad say that? (Thinks Emma wants string cheese),#REF!,1,Because he thought emma wanted string cheese,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.3,What snack does Emma want today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.4,What snack did Dad pack for Emma today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.5,Why is Emma surprised? (thought dad packed string cheese),#REF!,1,Because she thought she didn't have yogurt,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_19.1,Why does Leslie say that? (sarcasm),#REF!,1,Because she was being sarcastic,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_19.2,Is Leslie happy or sad? (sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_1.1,Which one will Henry choose? (Chooses Same),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_2.1,Which one will Kari choose? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_3.1,Where will Joe look? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_4.1,Which snack? (one she's looking at),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_4.2,How'd you know that snack? (looking at it),#REF!,1,Cause that's the one she's looking at,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_5.1,Where will Diana look? (Drawer),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_5.2,"Why does she look in the drawer? (Thinks it's there, where she put it)",#REF!,1,Cause she put it there,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_5.3,Where is her snack?,#REF!,NA,NA,NA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_6.1,Gives Sean pear?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.1,Where will Allie look? (top of shelf),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.2,"Why will she look on top of shelf? (thinks it's hers, looks like hers)",#REF!,1,"Because the bag looks like hers, and that's where she put it",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.3,Why does Sue feel sad? (Allie is taking her snack),#REF!,1,Because that's actually her snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.4,Is Allie being mean/naughty? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.5,"Why/why not (mean/naughty)? (She didn't know, she thought it was hers, accident)",#REF!,1,Because she doesn't know that that's Sue's snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.6,Should Allie get in trouble (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.7,"Why/why not (trouble)? (She didn't know, she thought it was hers, accident)",#REF!,1,Because her snack fell and she thinks that's her snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_8.1,What snack did Dad pack for Luke to have? (Chips),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_8.2,What does Luke think is inside the bag- crackers or chips? (Crackers),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_8.3,Why does he think that? (Expectations),#REF!,NA,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_9.1,Gives Sarah fruit snacks?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.1,Which snack will mom pack? (Carrots),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_10.2,"Why will mom pack carrots? (Near ""glasses"")",#REF!,1,Because they're closest to the glasses,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.3,Which snack does Josh want- celery or carrots? (celery),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_10.4,"How did you know? (He tried it earlier, he likes celery)",#REF!,1,Because he tried it that morning and really liked it ,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_11.1,Why did Charlie say that? (Got what he asked for),#REF!,1,Because it's salty and he wanted something salty,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_11.2,Is Charlie happy or sad? (Happy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.1,Which cookie will dad pack? (medium cookie),#REF!,NA,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.2,Why does dad pack that cookie? (It's the biggest he can see),#REF!,1,Because he can't see that one,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.3,Which cookie does Marie want? (big cookie),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.4,How did you know? (She can see it),#REF!,1,Because she asked for it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_13.1,Which picture should April draw? (orange slice),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_13.2,Why should she draw the slice? (doesn't look like apple),#REF!,1,"Because this actually looks like this, but this one actually looks like an orange slice",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.1,How will Bill feel? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.2,Why (does Bill feel sad/happy)? (Remembers the puppy stole his snack),#REF!,0,Happy because he likes the dog and thinks it's cute,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.3,Will Bill sit near or far from the puppy? (Far),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.4,Why (will Bill sit far/near)? (Remembers the puppy stole his snack),#REF!,1,Because it stole his banana last time,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_15.1,Where is Jenni's snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_15.2,Where will Jenni look for her snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_15.3,"Why does Jenni look on the desk? (she heard the announcment, knew)",#REF!,1,Because she knows that it's on the desk,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.1,Where is Melanie's cookie? (in her tummy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.2,Did Melanie know that was Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.3,Why did Melanie eat Mitch's cookie? (Mean),#REF!,1,Because she was hungry,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.4,Why is Mitch crying? (Doesn't have cookie),#REF!,1,Because melanie took his cookie,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.5,Is Melanie being mean/naughty for taking Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.6,Why/why not (mean/naughty)? (She knew),#REF!,1,Because she knew it was his,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.7,Should Melanie get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-002,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.8,Why/why not (trouble)? (She knew),#REF!,1,Because she took it on purpose and knew it was his,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
